CountryName,Region,ThirdWorld
Luxembourg,Western Europe,0
"Macao SAR, China",East Asia,0
Madagascar,Africa,1
Malawi,Africa,1
Malaysia,Southeast Asia,0
Maldives,South Asia,0
Mali,Africa,1
Malta,Western Europe,0
Marshall Islands,Australia and Oceanea,0
Mauritania,Africa,1
Mauritius,Africa,0
Mexico,North America,0
"Micronesia, Fed. Sts.",Australia and Oceanea,0
Moldova,Eastern Europe,0
Monaco,Western Europe,0
Mongolia,East Asia,0
Montenegro,Eastern Europe,0
Morocco,Africa,0
Mozambique,Africa,1
Myanmar,Southeast Asia,1
Namibia,Africa,0
Nauru,Australia and Oceanea,0
Nepal,South Asia,1
Netherlands,Western Europe,0
New Caledonia,Australia and Oceanea,0
New Zealand,Australia and Oceanea,0
Nicaragua,North America,0
Niger,Africa,1
Nigeria,Africa,0
North Macedonia,Eastern Europe,0
Northern Mariana Islands,Australia and Oceanea,0
Norway,Northern Europe,0
Oman,Middle East,0
Pakistan,South Asia,0
Palau,Australia and Oceanea,0
Panama,North America,0
Papua New Guinea,Australia and Oceanea,0
Paraguay,South America,0
Peru,South America,0
Philippines,Southeast Asia,0
Poland,Eastern Europe,0
Portugal,Western Europe,0
Puerto Rico,North America,0
Qatar,Middle East,0
Romania,Eastern Europe,0
Russian Federation,Eastern Europe,0
Rwanda,Africa,1
Samoa,Australia and Oceanea,0
San Marino,Western Europe,0
Sao Tome and Principe,Africa,1
Saudi Arabia,Middle East,0
Senegal,Africa,1
Serbia,Eastern Europe,0
Seychelles,Africa,0
Sierra Leone,Africa,1
Singapore,Southeast Asia,0
Sint Maarten (Dutch part),North America,0
Slovak Republic,Eastern Europe,0
Slovenia,Western Europe,0
Solomon Islands,Australia and Oceanea,1
Somalia,Africa,1
South Africa,Africa,0
South Sudan,Africa,1
Spain,Western Europe,0
Sri Lanka,South Asia,0
St. Kitts and Nevis,North America,0
St. Lucia,North America,0
St. Martin (French part),Western Europe,0
St. Vincent and the Grenadines,North America,0
Sudan,Africa,1
Suriname,South America,0
Sweden,Northern Europe,0
Switzerland,Western Europe,0
Syrian Arab Republic,Middle East,0
Tajikistan,Western Asia,0
Tanzania,Africa,1
Thailand,Thailand,0
Timor-Leste,Southeast Asia,1
Togo,Africa,1
Tonga,Australia and Oceanea,0
Trinidad and Tobago,North America,0
Tunisia,Africa,0
Turkey,Middle East,0
Turkmenistan,Western Asia,0
Turks and Caicos Islands,North America,0
Tuvalu,Australia and Oceanea,1
Uganda,Africa,1
Ukraine,Eastern Europe,0
United Arab Emirates,Middle East,0
United Kingdom,Northern Europe,0
United States,North America,0
Uruguay,South America,0
Uzbekistan,Western Asia,0
Vanuatu,Australia and Oceanea,1
"Venezuela, RB",South America,0
Vietnam,Southeast Asia,0
Virgin Islands (U.S.),North America,0
West Bank and Gaza,Middle East,0
"Yemen, Rep.",Middle East,1
Zambia,Africa,1
Zimbabwe,Africa,0
